uuid, study, function, error_line, error_message, L_ij, E_ij, K_ij, F_ij compiling, F_ij passing tests
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:58:18,SEGV on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:58:18,stack-buffer-overflow on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:47:25,stack-buffer-overflow on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:48:28,stack-buffer-overflow on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:49:24,stack-buffer-overflow on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:67:21,stack-buffer-overflow on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:68:24,stack-buffer-overflow on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:70:20,stack-buffer-overflow on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:71:20,stack-buffer-overflow on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:36,SEGV on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_item_to_string,item_to_string.c:33:9,stack-buffer-overflow on,10,1,0.1,28,23
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:58:18,SEGV on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:58:18,stack-buffer-overflow on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:47:25,stack-buffer-overflow on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:48:28,stack-buffer-overflow on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:49:24,stack-buffer-overflow on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:67:21,stack-buffer-overflow on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:68:24,stack-buffer-overflow on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:70:20,stack-buffer-overflow on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:71:20,stack-buffer-overflow on,40,10,0.25,28,18
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,list_add_item_at_pos,add_item_at_pos.c:36,SEGV on,40,10,0.25,28,18
1f53c71a-e1b9-4b65-a11e-c15f3c38a6cf,Deactive,list_item_to_string,item_to_string.c:38:15,stack-buffer-overflow on,17,1,0.0588,20,12
1f53c71a-e1b9-4b65-a11e-c15f3c38a6cf,Deactive,list_load,load.c:54:11,stack-buffer-overflow on,40,3,0.075,12,4
1f53c71a-e1b9-4b65-a11e-c15f3c38a6cf,Deactive,list_load,load.c:56:22,stack-buffer-overflow on,40,3,0.075,12,4
1f53c71a-e1b9-4b65-a11e-c15f3c38a6cf,Deactive,list_load,load.c:56:22,libFuzzer: timeout,40,3,0.075,12,4
212591de-3007-4e4d-a0df-67d22d6c5f91,Active,list_item_to_string,item_to_string.c:33:5,stack-buffer-overflow on,9,1,0.1111,28,23
212591de-3007-4e4d-a0df-67d22d6c5f91,Active,list_remove_item_at_pos,remove_item_at_pos.c:45:34,SEGV on,19,1,0.0526,22,16
212591de-3007-4e4d-a0df-67d22d6c5f91,Active,list_swap_item_positions,swap_item_positions.c:57:23,SEGV on,33,5,0.1515,23,7
212591de-3007-4e4d-a0df-67d22d6c5f91,Active,list_swap_item_positions,swap_item_positions.c:43:26,SEGV on,33,5,0.1515,23,7
212591de-3007-4e4d-a0df-67d22d6c5f91,Active,list_swap_item_positions,swap_item_positions.c:51:26,SEGV on,33,5,0.1515,23,7
212591de-3007-4e4d-a0df-67d22d6c5f91,Active,list_swap_item_positions,swap_item_positions.c:46:38,SEGV on,33,5,0.1515,23,7
212591de-3007-4e4d-a0df-67d22d6c5f91,Active,list_swap_item_positions,swap_item_positions.c:58:30,SEGV on,33,5,0.1515,23,7
21cb2508-2c4a-468d-a771-002ba7e0f211,Active,list_print,print.c:43:5,libFuzzer: timeout,10,1,0.1,29,14
26a41023-c10e-41cc-b9e1-8103dc46f264,Active,list_item_to_string,item_to_string.c:35:5,stack-buffer-overflow on,9,1,0.1111,28,23
26a41023-c10e-41cc-b9e1-8103dc46f264,Active,list_load,load.c:57:12,SEGV on,15,1,0.0667,19,4
26a41023-c10e-41cc-b9e1-8103dc46f264,Active,list_swap_item_positions,swap_item_positions.c:61:23,SEGV on,51,8,0.1569,23,7
26a41023-c10e-41cc-b9e1-8103dc46f264,Active,list_swap_item_positions,swap_item_positions.c:61:23,heap-use-after-free on,51,8,0.1569,23,7
26a41023-c10e-41cc-b9e1-8103dc46f264,Active,list_swap_item_positions,swap_item_positions.c:26,libFuzzer: timeout,51,8,0.1569,23,7
26a41023-c10e-41cc-b9e1-8103dc46f264,Active,list_swap_item_positions,swap_item_positions.c:54:22,heap-use-after-free on,51,8,0.1569,23,7
26a41023-c10e-41cc-b9e1-8103dc46f264,Active,list_swap_item_positions,swap_item_positions.c:56:24,heap-use-after-free on,51,8,0.1569,23,7
26a41023-c10e-41cc-b9e1-8103dc46f264,Active,list_swap_item_positions,swap_item_positions.c:60:23,heap-use-after-free on,51,8,0.1569,23,7
26a41023-c10e-41cc-b9e1-8103dc46f264,Active,list_swap_item_positions,swap_item_positions.c:61:15,heap-use-after-free on,51,8,0.1569,23,7
26a41023-c10e-41cc-b9e1-8103dc46f264,Active,list_swap_item_positions,swap_item_positions.c:62:16,heap-use-after-free on,51,8,0.1569,23,7
275f0df3-1f22-43e1-b37c-147169908268,Deactive,list_find_highest_price_item_position,find_highest_price_item_position.c,libFuzzer: timeout,15,11,0.7333,13,7
275f0df3-1f22-43e1-b37c-147169908268,Deactive,list_find_highest_price_item_position,find_highest_price_item_position.c:32:13,libFuzzer: timeout,15,11,0.7333,13,7
275f0df3-1f22-43e1-b37c-147169908268,Deactive,list_find_highest_price_item_position,find_highest_price_item_position.c:32:25,libFuzzer: timeout,15,11,0.7333,13,7
275f0df3-1f22-43e1-b37c-147169908268,Deactive,list_find_highest_price_item_position,find_highest_price_item_position.c:34:29,libFuzzer: timeout,15,11,0.7333,13,7
275f0df3-1f22-43e1-b37c-147169908268,Deactive,list_find_highest_price_item_position,find_highest_price_item_position.c:32:19,libFuzzer: timeout,15,11,0.7333,13,7
275f0df3-1f22-43e1-b37c-147169908268,Deactive,list_find_highest_price_item_position,find_highest_price_item_position.c:31:14,libFuzzer: timeout,15,11,0.7333,13,7
275f0df3-1f22-43e1-b37c-147169908268,Deactive,list_find_highest_price_item_position,find_highest_price_item_position.c:32:27,libFuzzer: timeout,15,11,0.7333,13,7
275f0df3-1f22-43e1-b37c-147169908268,Deactive,list_find_highest_price_item_position,find_highest_price_item_position.c:33:25,libFuzzer: timeout,15,11,0.7333,13,7
275f0df3-1f22-43e1-b37c-147169908268,Deactive,list_find_highest_price_item_position,find_highest_price_item_position.c:33:23,libFuzzer: timeout,15,11,0.7333,13,7
275f0df3-1f22-43e1-b37c-147169908268,Deactive,list_find_highest_price_item_position,find_highest_price_item_position.c:34:27,libFuzzer: timeout,15,11,0.7333,13,7
275f0df3-1f22-43e1-b37c-147169908268,Deactive,list_find_highest_price_item_position,find_highest_price_item_position.c:33:31,libFuzzer: timeout,15,11,0.7333,13,7
275f0df3-1f22-43e1-b37c-147169908268,Deactive,list_item_to_string,item_to_string.c:29:11,SEGV on,4,1,0.25,20,12
275f0df3-1f22-43e1-b37c-147169908268,Deactive,list_print,print.c:42:5,SEGV on,12,1,0.0833,24,9
275f0df3-1f22-43e1-b37c-147169908268,Deactive,list_swap_item_positions,swap_item_positions.c:32:24,stack-buffer-overflow on,22,4,0.1818,11,4
275f0df3-1f22-43e1-b37c-147169908268,Deactive,list_swap_item_positions,swap_item_positions.c:32:24,SEGV on,22,4,0.1818,11,4
275f0df3-1f22-43e1-b37c-147169908268,Deactive,list_swap_item_positions,swap_item_positions.c:37:20,stack-buffer-overflow on,22,4,0.1818,11,4
275f0df3-1f22-43e1-b37c-147169908268,Deactive,list_swap_item_positions,swap_item_positions.c:37:20,SEGV on,22,4,0.1818,11,4
3533dacf-349b-4581-bc32-6b9f015199c1,Active,list_add_item_at_pos,add_item_at_pos.c:41:9,heap-buffer-overflow on,36,5,0.1389,28,18
3533dacf-349b-4581-bc32-6b9f015199c1,Active,list_add_item_at_pos,add_item_at_pos.c:41:9,SEGV on,36,5,0.1389,28,18
3533dacf-349b-4581-bc32-6b9f015199c1,Active,list_add_item_at_pos,add_item_at_pos.c:40:31,heap-buffer-overflow on,36,5,0.1389,28,18
3533dacf-349b-4581-bc32-6b9f015199c1,Active,list_add_item_at_pos,add_item_at_pos.c:62:27,heap-buffer-overflow on,36,5,0.1389,28,18
3533dacf-349b-4581-bc32-6b9f015199c1,Active,list_add_item_at_pos,add_item_at_pos.c:63:5,SEGV on,36,5,0.1389,28,18
3533dacf-349b-4581-bc32-6b9f015199c1,Active,list_deduplicate,deduplicate.c:43:17,heap-use-after-free on,33,6,0.1818,17,3
3533dacf-349b-4581-bc32-6b9f015199c1,Active,list_deduplicate,deduplicate.c:43:17,libFuzzer: timeout,33,6,0.1818,17,3
3533dacf-349b-4581-bc32-6b9f015199c1,Active,list_deduplicate,deduplicate.c:39:21,libFuzzer: timeout,33,6,0.1818,17,3
3533dacf-349b-4581-bc32-6b9f015199c1,Active,list_deduplicate,deduplicate.c:44:17,libFuzzer: timeout,33,6,0.1818,17,3
3533dacf-349b-4581-bc32-6b9f015199c1,Active,list_deduplicate,deduplicate.c:39:33,libFuzzer: timeout,33,6,0.1818,17,3
3533dacf-349b-4581-bc32-6b9f015199c1,Active,list_deduplicate,deduplicate.c:39:18,libFuzzer: timeout,33,6,0.1818,17,3
3533dacf-349b-4581-bc32-6b9f015199c1,Active,list_item_to_string,item_to_string.c:31:9,stack-buffer-overflow on,9,1,0.1111,28,23
3533dacf-349b-4581-bc32-6b9f015199c1,Active,list_load,load.c:28:22,heap-buffer-overflow on,67,4,0.0597,19,4
